GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Asteroid-Mining,AsteroidMining,Handler,40,93,9,11,8,26,6,11,1,6
Asteroid-Mining,AsteroidMining,Iron,3,15,0,0,2,5,0,1,0,1
Asteroid-Mining,AsteroidMining,Visitor,54,80,3,7,12,25,5,11,2,9
Asteroid-Mining,AsteroidMining,GameObject,14,75,0,0,6,18,4,9,4,9
Asteroid-Mining,AsteroidMining,ID,0,69,0,0,0,12,0,1,0,1
Asteroid-Mining,AsteroidMining,Window,0,59,0,0,0,16,0,3,0,3
Asteroid-Mining,AsteroidMining,Place,3,60,0,0,1,15,1,7,1,7
Asteroid-Mining,AsteroidMining,Menu,7,173,9,11,4,30,9,5,0,4
Asteroid-Mining,AsteroidMining,SpaceShip,46,188,7,15,11,42,7,13,0,9
Asteroid-Mining,AsteroidMining,Direction,0,27,0,0,0,5,0,1,0,1
Asteroid-Mining,AsteroidMining,WaterIce,3,21,0,0,2,8,0,2,0,2
Asteroid-Mining,AsteroidMining,Robot,44,49,5,2,7,13,6,4,2,4
Asteroid-Mining,AsteroidMining,Game,34,344,5,15,19,80,8,13,4,7
Asteroid-Mining,AsteroidMining,KeyHandler,49,86,14,14,19,29,13,11,0,3
Asteroid-Mining,AsteroidMining,Resource,2,13,0,0,2,4,2,3,2,3
Asteroid-Mining,AsteroidMining,Asteroid,104,197,12,18,25,52,10,18,1,12
Asteroid-Mining,AsteroidMining,Carbon,5,15,0,0,2,5,0,1,0,1
Asteroid-Mining,AsteroidMining,SunStorm,2,56,3,9,2,16,5,5,2,2
Asteroid-Mining,AsteroidMining,TeleportationGate,11,8,0,0,5,4,4,2,4,2
Asteroid-Mining,AsteroidMining,Settler,245,379,34,30,53,94,26,17,2,9
Asteroid-Mining,AsteroidMining,RadioActiveAsteroid,0,8,0,0,0,3,0,2,0,2
Asteroid-Mining,AsteroidMining,Uranium,3,15,0,0,2,5,0,1,0,1
Asteroid-Mining,AsteroidMining.Resources,STATE,0,27,0,0,0,4,0,1,0,1
